id;id_researcher;bibcode;years;citations;reads
95;6.0;2022ascl.soft06010E;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 15, 2}
96;6.0;2016A&A...593A.114B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 1, 1, 1, 2, 0, 1, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 163, 66, 67, 32, 27, 15, 20, 5}
97;6.0;2016ascl.soft09015S;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 45, 39, 34, 42, 23, 22, 25, 6}
98;6.0;2021essp.confE..29S;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 30, 17, 3}
99;6.0;2018yCat..35940036S;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 45, 36, 14, 19, 27, 1}
100;6.0;2017yCat..35970048F;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 42, 11, 19, 9, 23, 13, 1}
101;6.0;2018yCat..18460159B;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 15, 9, 7, 17, 1}
102;6.0;2020sea..confE..35E;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 36, 16, 8, 1}
103;6.0;2021essp.confE...1B;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 8, 0}
104;6.0;2020BAAA...61C...1B;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 102, 18, 10, 11, 0}
105;6.0;2022yCat..74843042S;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 0}
106;6.0;2020IAUGA..30..263B;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 14, 9, 14, 0}
107;6.0;2019AAS...23314417R;{'2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 11, 9, 6, 2}
108;6.0;2015yCat..35760135G;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 23, 12, 13, 16, 11, 4, 7, 6, 3}
109;6.0;2020yCat..36320059F;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 8, 8, 1}
110;6.0;2020yCat..74692121S;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 11, 6, 0}
111;6.0;2016ilgp.confE..63B;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 29, 18, 23, 14, 5, 7, 8, 1}
112;6.0;2015PhDT.......391B;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 7, 0}
113;6.0;2015yCat..35730059G;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 11, 12, 8, 6, 2, 2, 4, 4, 1}
114;6.0;2020sea..confE...2A;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 4, 4, 0}
115;6.0;2020sea..confE..89V;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 26, 7, 1, 0}
116;6.0;2015IAUGA..2245583B;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 8, 4, 11, 5, 3, 4, 1, 1}
117;6.0;2015yCat..74511307Z;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 6, 1, 2, 2, 2, 2, 2, 0}
118;6.0;2016yCat..35820021B;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 11, 9, 4, 0, 1, 1, 1}
119;6.0;2017RMxAC..49..122H;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 11, 4, 5, 2, 1, 0}
120;6.0;2016ilgp.confE..48G;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 7, 9, 4, 0, 2, 3, 0}
121;6.0;2016diga.confE..18B;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 8, 2, 1, 4, 1, 0}
122;6.0;2016yCat..35930114B;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 3, 6, 3, 2, 1, 0, 0}
